192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:26:39 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6071
192.168.1.113 - - [20/Mar/2013:18:26:44 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
192.168.1.113 - - [20/Mar/2013:18:26:44 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:26:44 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:27:48 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:27:48 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
